EMG,Classification
508.0,0.0
503.0,0.0
505.0,0.0
506.0,0.0
506.0,0.0
504.0,0.0
505.0,0.0
507.0,0.0
508.0,0.0
506.0,0.0
510.0,0.0
508.0,0.0
505.0,0.0
505.0,0.0
508.0,0.0
509.0,0.0
508.0,0.0
508.0,0.0
507.0,0.0
506.0,0.0
507.0,0.0
504.0,0.0
505.0,0.0
507.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
510.0,0.0
508.0,0.0
504.0,0.0
504.0,0.0
510.0,0.0
508.0,0.0
508.0,0.0
507.0,0.0
511.0,0.0
511.0,0.0
504.0,0.0
505.0,0.0
508.0,0.0
509.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
508.0,0.0
504.0,0.0
503.0,0.0
508.0,0.0
504.0,0.0
508.0,0.0
507.0,0.0
507.0,0.0
509.0,0.0
506.0,0.0
504.0,0.0
509.0,0.0
510.0,0.0
506.0,0.0
508.0,0.0
506.0,0.0
510.0,0.0
511.0,0.0
505.0,0.0
506.0,0.0
508.0,0.0
503.0,0.0
506.0,0.0
508.0,0.0
504.0,0.0
507.0,0.0
510.0,0.0
505.0,0.0
510.0,0.0
508.0,0.0
508.0,0.0
511.0,0.0
511.0,0.0
507.0,0.0
508.0,0.0
505.0,0.0
506.0,0.0
508.0,0.0
504.0,0.0
505.0,0.0
504.0,0.0
505.0,0.0
505.0,0.0
508.0,0.0
509.0,0.0
506.0,0.0
504.0,0.0
505.0,0.0
508.0,0.0
506.0,0.0
505.0,0.0
510.0,0.0
507.0,0.0
505.0,0.0
510.0,0.0
511.0,0.0
510.0,0.0
509.0,0.0
511.0,0.0
513.0,0.0
504.0,0.0
502.0,0.0
505.0,0.0
506.0,0.0
508.0,0.0
506.0,0.0
508.0,0.0
510.0,0.0
505.0,0.0
507.0,0.0
504.0,0.0
507.0,0.0
509.0,0.0
504.0,0.0
508.0,0.0
507.0,0.0
510.0,0.0
509.0,0.0
506.0,0.0
507.0,0.0
507.0,0.0
505.0,0.0
505.0,0.0
507.0,0.0
509.0,0.0
505.0,0.0
509.0,0.0
510.0,0.0
506.0,0.0
508.0,0.0
508.0,0.0
509.0,0.0
512.0,0.0
503.0,0.0
505.0,0.0
509.0,0.0
507.0,0.0
506.0,0.0
506.0,0.0
507.0,0.0
503.0,0.0
504.0,0.0
504.0,0.0
506.0,0.0
508.0,0.0
506.0,0.0
506.0,0.0
510.0,0.0
507.0,0.0
508.0,0.0
505.0,0.0
507.0,0.0
510.0,0.0
511.0,0.0
511.0,0.0
508.0,0.0
509.0,0.0
505.0,0.0
505.0,0.0
509.0,0.0
505.0,0.0
508.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
506.0,0.0
509.0,0.0
506.0,0.0
508.0,0.0
510.0,0.0
505.0,0.0
510.0,0.0
509.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
508.0,0.0
507.0,0.0
507.0,0.0
503.0,0.0
505.0,0.0
503.0,0.0
507.0,0.0
505.0,0.0
507.0,0.0
504.0,0.0
504.0,0.0
508.0,0.0
508.0,0.0
505.0,0.0
511.0,0.0
507.0,0.0
505.0,0.0
508.0,0.0
