Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.284,False,12376,12660
0.477,False,21548,22025
0.223,False,27273,27496
0.702,True,32731,33433
0.302,False,37545,37847
0.273,False,43252,43525
0.288,False,51349,51637
0.22,False,56866,57086
0.439,True,67387,67826
0.287,False,76338,76625
0.239,False,81904,82143
0.383,False,94585,94968
0.287,False,100525,100812
0.305,False,108125,108430
0.341,False,113664,114005
0.312,False,123290,123602
0.305,False,128994,129299
0.273,False,141898,142171
0.288,False,147585,147873
0.235,False,161832,162067
0.198,False,167502,167700
0.373,False,173990,174363
0.277,False,179674,179951
